生首技	鮮血, 卓上, 看客, 喫驚	一八六五年	英國, 倫敦	可羅涅耳 斯脫德兒		I_01_24_02.ann
馬鈴薯	薯, 藷, 南方, 熱地, 番藷, 植民地, 種子, 移來	櫻町天皇, 一千五百六十五年	支那, 閩, 廣, 日本, 我國, 歐羅巴, 英國, 北美, 愛蘭	靑木敦書, 衣沙伯里, 窩耳他剌禮	番薯考	I_01_26_12.ann
熨斗	火斗, 大熨, 炮烙, 刑, 銅人, 小錢	漢		紂, 董卓	帝王世紀	I_01_23_08.ann
保險會社	海面保險會社, 生命保險會社, 火災保險會社, 貨物保險會社, 猶太人	西紀 四十三年, 一五九八年, 一千七百六年, 一八一二年, 十八世紀, 一千一百八十一年	英國, 英京	賽都尼		I_01_15_05.ann
輕氣球	薄銅, 球, 空氣, 眞空, 空中, 飛揚, 鳥類, 車, 金屬, 船, 航空, 鳥形機械, 管, 座中空談, 籃, 紙, 空氣球, 化學者, 水素, 囊, 兄弟, 熱空氣, 絹, 動物, 自乘, 遊行, 他扁泰因 液, 膠	十三世紀頃, 一六三十年, 一六七十年, 一六 六年一七 九年, 一七七六年, 一七八三年	英國, 葡國, 法國, 安那尼洲 塞勒斯天	羅査倍根, 威耳虔斯, 剌拿, 古斯曼, 加溫底斯, 可亞兒, 門哥耳非, 約瑟門哥耳非		I_01_22_13.ann
議會	國會議士制, 公民會議令	紀元前 五百九十三年	雅典	梭倫		I_01_10_09.ann
墳莎	墳墓, 莎, 防墓, 晉人, 京師, 衰城, 以草衣城, 諸侯, 大夫, 蓑城, 合肥, 草苫, 圍城, 苫蓑, 雨衣, 白茅, 聖智, 朋友之墓, 宿草, 不哭, 孝子, 擇樹, 成墳, 墓祭, 灑掃, 莎上灑水	定公元年	宋, 晉, 狄泉, 成周, 魏	仲幾, 魏舒, 劉馥, 孫權	春秋, 公羊傳, 禮, 家禮	S_07_01_36.ann
苜蓿	胡中菜, 苜蓿園, 거여목		洛陽, 我國	張騫, 任昉	術異記, 醫鑑	I_01_26_05.ann
弓矢	弓, 弓正, 矢, 楛矢, 檀弓, 弓箭	箕王, 淳仁天皇	西洋, 希臘, 我國, 朝鮮, 日本	黃帝, 揮, 少昊, 般, 夷則, 牟夷, 西波羅神亞波羅神, 肅愼氏	山海經	I_01_11_03.ann
測喉鏡	驗目鏡, 檢陰鏡, 返照, 入喉, 上池水, 五臟, 聽肺, 測喉, 器機, 醫士, 目力, 婦人, 牝戶		西洋	扁鵲		I_01_12_06.ann
樗蒲	胡地, 擲戱, 五木, 梟, 盧, 雉, 犢, 塞, 勝負, 骰子	周		老子 李耳		I_01_24_10.ann
月異月戲	月中有異, 以月爲戲, 月中有人, 披簑帶鋤, 主大水之災, 帶甲持戟, 主兵, 幻戲, 月宮	正月十五日, 宋		尹思, 吳曦, 周生, 唐玄宗, 葉法善, 羅公遠	觀象玩占, 遣愁集	O_01_02_10.ann
閏	草, 一葉, 小盡, 旬朔, 閏月, 常數, 氣盈, 朔虛, 閏餘, 再閏, 七閏, 氣朔, 分齊, 太陽曆, 閏日, 平年, 閏年, 曆法沿革	唐堯			堯典 註	I_01_01_16.ann
睡車	胎敎, 保赤子, 褯子, 襁褓, 燕都人, 兜子, 鞦韆, 搖車, 搖籃, 華人, 鄕谷, 乳婦, 執爨, 裁縫, 紡績, 乳孩, 家道, 懶婦, 陟臂, 魏盈, 面雍樹, 南方人, 壼政, 婦道, 兒啼, 女紅, 丈夫	漢, 正廟己未, 明, 隋, 唐, 宋	我東, 燕, 朝鮮, 洌水, 樂浪郡, 遼東, 四臺子齊姓人家, 廣陵	班孟堅, 范蜀公, 揚子雲, 徐公有稷, 單宇, 何妥, 煬廣, 顔師古, 孫穆, 蘇林, 禹	白虎通, 四聲通解, 釋名, 傳, 東齋記事, 揚子方言, 北遊錄, 菊坡叢話, 大業拾遺記, 雞林類事, 史記	O_10_01_12.ann
玉趾逾閫	參官, 內宦			忠烈王, 安戩	稗說	D_11_01_35.ann
不樂求閫				王建, 弓裔	羅史	D_11_01_35.ann
儒閫					佔畢齋	D_11_01_35.ann
分閫				李芮	觀察海西	D_11_01_35.ann
制閫	東西北面兵馬使			成宗, 蔡松年	麗史, 官誥	D_11_01_35.ann
閫	門限, 梱, 門橛					D_11_01_35.ann
馬日	十月, 午日, 亥日, 國俗, 赤豆餠, 廐中, 馬, 健康, 祝, 玄猪餠, 上元, 曲水, 端午, 乞巧奠, 五名節		日本			I_01_28_22.ann
竹	董竹, 王竹, 淡竹, 綿竹, 苦竹, 烏竹, 藥用, 杜詩, 味苦夏蟲避, 紫苦竹, 黃苦竹, 立竹, 百葉竹, 篣竹, 種竹法, 舊土, 名花, 異木, 結實, 麥, 薏苡, 唐黍, 酒食, 竹實, 鳳凰, 竹米, 荒年之兆, 心肺, 淸凉	宋, 太宗	扶南, 交廣, 南垂, 江陵大嶺山, 南方, 智異山, 江淮, 餘干	林洪, 共一諄, 李畋, 楊愼	醫書, 竹譜, 說郛, 東閣雜記	J_20_01_03.ann
地圖	天下, 州國, 版圖, 天府, 大司徒, 土地, 九州, 廣輪, 輿地圖, 測午表, 描寫, 七分, 征服, 四方, 疆土, 大擴, 新占	三代, 亨享保, 西 紀元前 千四百年頃	東洋, 日本, 埃及	中御門天皇, 地疏斯脫利	周官, 舊約全書 亞紀約書亞紀	I_01_05_12.ann
活畫觀	天地, 活畫世界, 日, 月, 星, 河, 風雲, 山川, 蜚, 動, 森羅, 千彙萬象, 眞景, 龍宮, 乾坤一球, 日月雙丸, 春之花鳥, 夏之雲雷, 秋之煙月, 冬之風雪, 士而絃誦, 農而稼穡, 工而繩墨, 商而貿遷, 丘壑, 物表, 泉石, 煙霞, 塵埃, 性靈, 贋畫		鴨水, 中原, 波斯, 箕, 潁	蘭垣居士, 黃, 綺		O_09_01_07.ann
膝行前退	國官, 膝行而退, 卑者, 尊者		高麗		說郛	D_15_01_23.ann
赤島水退	得涉水		赤島, 女眞	翼祖, 千戶		D_15_01_23.ann
七十不退	平章事			金先錫, 肅宗	麗史	D_15_01_23.ann
有疾不退	淸顯			崔濡	麗史	D_15_01_23.ann
日官	囁嚅而退, 散騎常侍, 吉日		南京, 松都	恭讓王, 鄭習仁	麗史	D_15_01_23.ann
敵兵佯退	濟兵佯退		百濟, 新羅, 蛙山, 缶谷	仇道	羅史	D_15_01_23.ann
乞退	平章事, 以山水自娛			崔讜, 尹淮	麗史	D_15_01_23.ann
恬退	久從仕宦			崔有渰	麗史	D_15_01_23.ann
挽章	客, 薤露歌, 執紼	漢初		田橫		I_01_04_13.ann
哀辭	誄		漢	崔瑗, 馬融		I_01_04_13.ann
誄文	妻, 夫子, 不伐, 不竭, 諡, 惠			柳下惠	周禮	I_01_04_13.ann
奏對詳懇		高宗	蒙古	金守剛	列傳	D_11_01_40.ann
帝嘉忠懇			元	金台鉉	麗史	D_11_01_40.ann
葵懇				魚咸從	葵花	D_11_01_40.ann
連姻戚畹				韓西原繼美		D_11_01_17.ann
楚畹			杏壇		咸從世稿	D_11_01_17.ann
畹	三十畒, 十二畒					D_11_01_17.ann
碁	遣使, 善棋, 選送	唐, 宋	支那, 我東	唐堯, 丹朱		I_01_24_08.ann
佯狂自晦	騎牛, 布衣			趙石磵, 南孝溫, 昭陵	風雅, 詩格註	D_15_01_16.ann
縱酒自晦	不見賓客			李資謙, 齊安公王偦	麗史	D_15_01_16.ann
晝晦	大霧, 戊午史禍, 大風拔木	仁宗二年, 七年, 燕山		李資謙, 柳自光	麗史, 本傳	D_15_01_16.ann
崔文本	密直副使版圖判書	忠烈王初	鐵原	平章事昷		D_11_01_26.ann
元曉返本				瑤石宮寡婦, 薛聰	羅史	D_11_01_26.ann
虛者實之本	虛, 心之本體, 虛其中				朴子虛字說	D_11_01_26.ann
奉使日本				申叔舟	筆苑	D_11_01_26.ann
緇流反本				冶隱	續蒙求	D_11_01_26.ann
報聘日本	交鄰, 主將			辛禑, 鄭夢周	麗史	D_11_01_26.ann
請使日本	典客寺事	洪武	日本, 太宰府	羅興儒, 恭愍王, 曹庶有	風雅	D_11_01_26.ann
東征日本			大明浦	元世祖, 金方慶		D_11_01_26.ann
日本	封建, 天皇, 國王, 源氏, 國王殿, 天皇宮	文武王十年, 周平王四十八年戊午, 禧宗乾符三年	黑龍江, 濟州, 琉球, 中國	狄野, 淸和天皇, 貞純	羅史, 海東諸國記	D_11_01_26.ann
樂本				金大問	羅史	D_11_01_26.ann
問辰鐘	觀象監, 西洋制	景宗 三年				I_01_22_32.ann
冠禮	加元服, 男子, 二十, 字, 冠, 三加, 委皃, 周道, 章甫, 殷道, 毋追, 夏道, 帝王, 周制, 祝辭, 令月, 吉日, 正胤, 太子, 卽位之初, 羅馬法王, 親手, 加冠	夏末, 漢 武帝, 高麗 光宗 十六年, 淸和天皇 六年 春正月	日本, 歐洲	成王, 周公, 伷	曲禮, 郊特牲	I_01_08_14.ann
佛經印板	海印寺, 八萬大藏經, 鋟榟, 漆, 印出, 佛經, 支那僧, 大藏經, 傳燈寺, 白馬	哀莊王 二年, 國朝 世祖 戊寅, 眞興王 十五年, 漢 明帝	新羅, 陜川郡 伽倻山, 我東, 陳國, 高麗, 宋, 江華, 支那	明觀, 忠烈王, 貞和宮主 王氏, 印奇		I_01_07_06.ann
千歲曆	推策法, 上元, 千歲曆, 紀元, 萬歲曆	世宗, 二十六年 甲子, 正祖 六年, 光武 八年				I_01_01_19.ann
辭氣雅遠				鄭雪谷	詩稿序	D_11_01_02.ann
勸民追遠	京山府司錄			尹栗亭		D_11_01_02.ann
詞語閒遠	春日詩, 野步詩			李奎報, 陳澕	詩話	D_11_01_02.ann
鐘聲淸遠						D_11_01_02.ann
金仁問	識量宏遠				羅史	D_11_01_02.ann
寄遠			樓蘭	高兆基		D_11_01_02.ann
源遠					御天歌	D_11_01_02.ann
懷遠	三珠虎符			羅裕, 韓希愈, 哈丹		D_11_01_02.ann
來遠			義州, 水			D_11_01_02.ann
淸遠	多景		西都			D_11_01_02.ann
襪架		一五八九年	英國	李		I_01_18_27.ann
北夷牧馬	北夷, 牧馬, 愛惜良馬, 射獵, 戰陣, 控馬之方, 駒, 每一年一産, 産於春月者爲佳, 牧馬之術 專在於控之一法, 放牧蒭水之節 宜有一定恒式, 絶其火食 然後始可致遠無病		中國, 我東	蕭大亨	夷俗記	O_19_02_06.ann
推車子	上前, 爭事, 議論, 下殿, 和氣, 相與, 舟車, 天下, 獨智, 大廈, 隻手, 國之上祥, 三代, 通人, 達士, 掣肘, 專任, 讒疾, 出謀, 發慮			韓魏公, 范希文, 富彦國, 管仲, 桓公	大戴禮	S_07_01_26.ann
娼妓	妾, 天子, 諸侯, 姬妾, 卿, 側室, 亞布拉罕, 娼家, 營妓, 軍士, 無妻者, 留宿, 娼家, 楊水尺, 妓籍, 水尺, 官妓, 覆面網	三皇	我國, 我東, 西洋, 衣時拉逸耳, 埃及國	五帝, 洪涯妓, 漢武帝, 金庾信, 李義旼, 至榮, 也及布, 猶打, 他馬耳, 希羅都他斯	舊約全書, 萬物原始, 漢武外史, 東史古紀, 高麗史	I_01_03_10.ann
陰晴節氣	奇技, 神巧, 度數, 陰晴表, 節氣表, 節氣, 寒暑, 陰晴, 寒暑, 巧法, 玻瓈, 小腹修頸之壺, 橫絛釘, 雨濕, 淡白氣, 上標, 大雨, 中標, 中雨, 下標, 下雨, 霧濕陰霾, 塗油紙版, 藏板, 極熱, 沐浴, 養蠶, 生花, 平和, 橘窖, 凍氷, 寒冷, 極冷, 冬至, 白氣, 地球, 氣, 感應, 驗燥濕器, 右旋, 左旋, 驗冷熱器, 虛實, 氣候, 藥之性情, 大毬, 四時, 萬象, 日月, 風雨	純宗二十九年, 三十年	中國, 燕京	黃履莊, 以待後世子雲	奇器目略	O_01_06_01.ann
洗禮	水			約翰, 基督	新約全書	I_01_07_12.ann
瀑布占水旱						D_11_02_01.ann
拔草驗旱			樂天亭	英廟	寶鑑	D_11_02_01.ann
亂妹天旱	尙州司錄	忠烈王時		尹諧	麗史	D_11_02_01.ann
預知水旱				伐休王	羅史	D_11_02_01.ann
原水旱				稼亭	本集	D_11_02_01.ann
泣旱				太宗	寶鑑	D_11_02_01.ann
家旱				李奎報		D_11_02_01.ann
握手	兩手, 據地, 敬禮, 古代, 兵器, 加害, 中世紀, 右手, 相握, 歡迎	三朝韓時代	我國, 西洋			I_01_08_23.ann
柶戱	柶, 四箇木, 骰子, 巫卜, 神佛, 祠廟, 楔, 俯仰, 吉凶, 歲初, 一年, 吉凶, 長柶, 攤戱, 攤, 樗蒲		我國		芝峯類說	I_01_24_11.ann
火	鑽木, 出火, 火食, 四時, 新火, 春, 楡柳, 夏, 槐檀, 西人, 希臘神代記, 火把, 山上, 太陽, 人類, 得火			燧人氏, 布魯美阿斯		I_01_05_05.ann
