生首技	鮮血, 卓上, 看客, 喫驚	一八六五年	英國, 倫敦	可羅涅耳 斯脫德兒		I_01_24_02.ann
豉	大苦, 鹽豉			康伯	楚辭, 史記, 博物志	I_01_19_15.ann
男女夫婦	萬物, 男女, 夫婦, 耶和華神, 熟睡, 肋骨, 造女, 妻			亞當, 夏娃	易, 舊約全書 創世紀	I_01_03_06.ann
兇悖	好亂, 弑主, 虐民, 狂悖, 戲謔, 一言之悖, 詔使橫悖, 好敺罵人, 凌辱			甄萱, 忠定王, 昔于老, 蔡斌	崔承老封事, 列傳, 本史	D_15_01_05.ann
石碓石磑	水磨	馬磨	魯, 漢, 晋	公輸班, 許靜, 杜預		I_01_23_29.ann
天人一理	治水, 水火, 水生, 火死, 交而生, 濟而養, 火炎, 上而死, 天地開時, 水荒, 天地壞時, 一元, 一會, 水厄, 陽九百六之災, 水患, 治河	帝嚳之八年壬辰, 堯時, 一百五十八年, 堯十九年, 六十一年, 六十九年, 七十年, 七十五年, 八十六年, 己巳歲	中國	宓山, 林孟鳴, 揭靜叔, 共工, 鯀, 虞舜, 禹	竹書	O_01_08_01.ann
銅鈸	銅盤, 鹿皮, 纓子, 僧家, 鳴鈸		南齊, 印度	穆士素	通考	I_01_21_29.ann
電氣車	電車, 鍛工, 鐵道, 起電之法, 亞鉛, 電池, 費用, 動電機	一八三五年, 一八三九年, 一八三五年, 一八五一年 四月 二十九日, 一八七九年	荷蘭, 義大利, 蘇格蘭, 合衆國, 哇摩頓州 布蘭頓, 華盛頓, 不勒顚斯堡, 德國	雪辣夭, 壁騎耳, 撲德, 德威孫, 土馬斯 打溫撲, 披治, 司旬治		I_01_22_06.ann
送舊迎新	縣邑, 送舊, 迎新, 通獘, 夫馬, 民間, 贈馬, 八馬碑, 雇馬, 道境, 館驛, 優民, 費錢		順天	崔碩, 柳	麗史, 磻溪随錄	S_07_01_16.ann
權奸自全	忠臣, 志士, 亂亡, 兵燹, 外冦, 事勢, 權奸, 簒逆, 謨猷, 自全之計, 人主, 移薪, 抗言, 輔弼, 壞亂, 朝廷, 惡逆, 忠諫, 孤臣, 貴寵			蘇東坡	武侯心書	S_07_01_68.ann
腰帶	革帶, 反揷垂頭, 算帒, 紫緋金魚帒			秦 二世		I_01_18_09.ann
水分子	水, 養氣, 輕氣	西曆 十八世紀의 末	法	拉布亞塞		I_01_05_03.ann
畵學	圖畵, 象形, 畵工, 繪畵, 進步, 名畵, 渡來, 彩畵法, 法隆寺 金堂, 壁畵, 珍品, 畵風, 輸入, 黃龍寺, 寺壁, 老松, 鳥雀, 丹靑, 芬皇寺, 觀音菩薩, 斷俗寺, 維摩像, 一色, 各色, 寫畵, 油畵	黃帝, 雄略朝, 崇峻, 推古天皇, 眞興王, 紀元前 八世紀頃, 一千四百十八年	日本, 百濟, 高句麗, 我國, 新羅, 慶州, 晋州, 西洋, 希臘	史皇氏, 苩加, 曇徵, 阿佐, 聖德太子, 率居, 布勒剌可斯, 楊漢益	世本	I_01_13_10.ann
稼穡	絺綌, 夫婦, 利害, 穀粟, 男子, 婦人, 布帛, 藉田, 蚕室, 一身, 前後, 民隱				書, 詩	S_07_01_08.ann
書	龍書, 穗書, 鳥迹篆, 蝌蚪篆, 虫書, 倒薤書, 大篆, 小篆, 雕虫篆, 飛白書, 玉筋篆, 柳葉篆, 埀露篆, 埀針篆, 纓絡篆, 八分書, 隸書, 楷字, 獄吏, 隸人, 章草, 草書, 八體書, 盡廢古文, 更用, 簡冊, 刻符, 符傳, 摹印, 印璽, 幡信, 署書, 門題, 殳書, 戈戟, 公府, 蜀體, 額體, 兵衛森帖	殷, 周 宣王, 秦 始皇, 元, 忠宣王	秦, 漢, 東漢, 唐, 晋, 高麗	伏羲氏, 炎帝, 黃帝臣 蒼頡, 顓頊, 務光, 史籒, 李斯, 楊雄揚雄, 蔡邕, 李陽氷, 衛瓘, 曹善, 曹喜, 劉德昇, 王次仲, 程邈, 杜伯度, 張竝, 趙高, 趙孟頫, 雪庵		I_01_04_02.ann
畵角	角, 軍中, 龍吟, 竹筒, 胡角, 胡人, 胡笳, 譙樓畵角, 曲調, 三弄, 爲君, 爲臣, 創業, 守成, 起家, 保家, 難字, 曳聲			黃帝, 蚩尤, 曹子建	通考, 宋 樂志, 三餘贅筆	I_01_21_24.ann
陂池	畜水, 陂, 池, 芍陂, 沼, 囿池, 酒池, 靈沼, 碧骨池	堯, 訖解王 卄一年	楚, 新羅	子思, 殷湯, 紂, 周文王 昌	禮記 月令, 皇覽	I_01_02_10.ann
染色	非由竦, 紫蘿蘭, 阿尼林, 毛物	一八五六年		潘京		I_01_18_29.ann
燒酒	甘露, 甘紅露, 暹羅燒酒	元	我國, 平壤			I_01_19_06.ann
弩	弩師, 千步, 請聘	文武王	新羅	仇珍川, 唐 高宗, 黃帝, 孫臏, 龐涓	古史考	I_01_11_04.ann
冠帽	折上巾, 服頭, 幞頭, 藤織, 漆紗, 烏紗帽, 紗帽, 進賢冠, 緇布冠, 折風巾, 羅濟笠, 眞骨, 平民, 婦女, 唐冠, 冠制, 結髮, 漆紗冠, 服色, 律令, 百姓, 右襟, 婦女衣服制, 女子戴帽	三代, 隋 大業, 隋唐, 天智天皇 十年, 天武天皇 十年, 元正皇, 十六世紀	新羅, 日本, 西洋	後周 武帝, 箕子		I_01_18_13.ann
晝夜	日出, 日沒, 子正, 一日, 國號, 羅朝, 白日, 光明, 夕陽, 日中, 中夜, 子正	新羅	東洋, 高句麗, 泰西, 希臘, 巴比倫, 敍利亞, 亞剌伯, 羅馬			I_01_01_13.ann
䲶鴦	翡翠, 水鳥, 巢則在陸, 異於他禽 甚異絶奇, 養雛於土窟破冢之間, 能使狐衛其子, 狐, 理外之事, 惟䲶雌求雄		淸	周亮工, 康熙	因樹屋書影, 白孔六帖, 書·禹貢, 幾暇格物論, 測微錄, 雞林小錄, 晉太原記	O_19_01_19.ann
五星相聚	七政, 太極, 三辰, 五星, 元氣, 三統, 五行, 五星, 左旋, 右旋, 恒星, 黃道, 東行, 西行, 九重天, 歲星, 蚩尤旗, 鎭星, 天賊, 太白, 天狗, 辰星, 枉矢, 天地眞元之氣, 合璧, 連珠, 五穀, 東井, 箕尾, 連珠, 鶉火, 聚室, 聚張, 奎、壁之分, 柳、張, 光武, 牛女, 元帝, 魏武, 劉裕, 五星, 大亂, 播蕩, 內亂, 饑, 變謀更事, 旱, 白衣之會, 內亂, 破軍, 水, 鑠, 喪, 憂, 孼卿, 北軍, 壅阻, 變謀更事, 疾, 國亡, 兵憂, 戰, 三星合, 驚立絶行, 四星合, 大陽, 五星若合, 易行, 祟之變, 黃道, 月食歲星, 月食熒惑, 月食鎭星, 月食太白, 月食辰星	漢高元年十月, 唐天寶, 乾德五年三月, 雍熙, 皇明弘治, 萬曆, 淸雍正二年二月二日庚午, 純宗辛巳, 淸道光元年三月二十七日, 漢元, 晉永嘉, 漢初, 晉義熙, 至德, 晉永元年, 漢文帝時		劉歆, 邵子, 太公, 石公, 張子, 程子, 顓頊, 齊桓, 漢高, 宋太祖, 宋眞宗, 景德	虞書, 晉書, 天文志	O_01_02_12.ann
胡床	交椅, 外國, 交牀, 繩床	漢, 隋, 唐				I_01_23_19.ann
秋千	北方, 山戎, 輕趫, 五月, 端午, 都人士女		我朝			I_01_24_15.ann
煤氣燈	瓦斯燈, 家屋, 溫燈, 煤氣, 工場	一七九九年	法, 英	非立剌般, 哇耳脫, 波耳頓		I_01_22_15.ann
郵局積財	郵政局, 積財銀行	一八六一年	英國			I_01_14_04.ann
幾何學	地上, 影, 金字塔, 高低, 測量, 難題, 解釋, 直角三角形, 弦, 平方, 鉤, 弧, 加合, 相等		希臘, 埃及	地利斯, 披沙哥剌斯		I_01_05_10.ann
拍板	擊節, 木拍板	晋		宋纖		I_01_21_26.ann
賞準	德懋, 懋官, 功懋, 懋賞, 褒賞之法, 王功, 勳, 輔成王業, 國功, 功, 保全民國, 民功, 庸, 澤施於民, 事功, 勞, 以勞定國, 治功, 力, 制法成治, 鑄器, 鏤石, 賞賜, 樂, 弓矢, 車馬, 衣服, 官爵, 公侯伯子男, 茅土, 土地, 賞功, 賜田, 華族, 發明, 印刷術, 權利, 財産, 皇帝, 保護	唐虞, 一三四四年, 一五九一年	高句麗, 西洋, 英	周公, 伊尹, 后稷, 夏禹, 皐陶, 衣滑 三世, 女皇 衣沙伯利	書傳, 周禮	I_01_10_07.ann
恒星消縮	北辰, 三垣, 紫微垣, 太微垣, 天市垣, 微星, 二十八宿, 一等大星, 五帝座, 織女, 二等, 帝星, 開陽, 三等, 太子, 少衛, 四等, 上將, 柱史, 五等, 上相, 虎賁, 六等, 天皇, 后宮, 六等, 上等, 東方龍形, 西方虎形, 南首北尾, 南方鳥形, 北方龜形, 西首東尾, 紫微星, 太微, 天市, 列宿, 角, 亢, 東方蒼龍, 女, 虛, 危, 十二支子, 天文分野書, 斗, 牛, 星紀, 占星氣, 序星辰, 序星宿, 恒星, 消縮, 昴宿, 紫微垣, 虎尾, 白虎, 觜宿, 五帝內座, 內廚, 勢, 杠, 御女, 天柱, 大理, 天牀, 傳舍, 華蓋, 天牢, 六甲, 五諸侯, 常陳, 天市垣, 市樓, 角宿, 庫樓, 柱, 亢宿, 折威, 氐宿, 帝席, 亢池, 騎官, 心宿, 積卒, 斗宿, 天鑰, 農丈人, 鼈, 牛宿, 天田, 右旗, 九坎, 天桴, 羅堰, 女宿, 離珠, 扶筐, 虛宿, 天壘城, 離瑜, 敗臼, 危宿, 人星, 杵, 臼, 天鉤, 天錢, 蓋屋, 室宿, 八魁, 羽林軍, 土公吏, 螣蛇, 壁宿, 天廏, 奎宿, 天溷, 畢宿, 咸池, 九斿, 井宿, 軍市, 星宿, 天稷, 張宿, 天廟, 翼宿, 東甌, 軫宿, 土司空, 軍門, 器府, 靑丘, 角宿, 柱, 氐宿, 亢池, 騎官, 心宿, 積卒, 斗宿, 天淵, 鼈, 牛宿, 九坎, 女宿, 離珠, 危宿, 天錢, 人, 室宿, 八魁, 壁宿, 天廏, 奎宿, 天溷, 畢宿, 九州殊口, 井宿, 軍市, 星宿, 天稷, 張宿, 天廟, 翼宿, 東甌, 軫宿, 軍門, 土司空, 器府, 列宿, 隨宜裁制, 天人相符之理, 天地消長之理, 恒星	皇明太祖洪武十七年, 殷, 齊, 魏, 漢, 唐, 唐, 淸, 皇明神宗萬曆元年癸酉, 崇禎	唐, 淸, 中原	張衡, 陳卓, 甘, 石, 巫咸, 丹元子, 王應電, 車區, 黃帝, 帝嚳, 巫咸, 甘德, 石申夫, 司馬遷, 王希明, 南懷仁, 湯若望, 羲和	星圖, 隋·志, 步天歌, 天王會通, 天經或問, 晉·天文志, 儀象考成, 史, 天官書, 史記·天官書, 丹元子步天歌, 儀象志, 儀象考成, 明史, 天文書, 綏寇紀略, 儀象志, 儀象考成, 儀象考成	O_01_02_22.ann
火敎	祖, 波斯聖書, 善惡 二神, 治理世人, 相爭不已	紀元前 六百年頃	爲波斯國	瑣羅斯得		I_01_07_17.ann
養才	下賤, 愚蠢, 飢凍, 讀書, 明理, 阨小之邦, 陋才之會, 鄕黨, 賢達, 下僚, 朋友, 親戚, 孤行, 知者, 賢能, 得志, 奸蠹, 人主, 聖王, 用才, 思皇多士生此王國, 世之無才, 未見, 誠求, 智量, 蓬戶	三代			詩	S_07_01_76.ann
鶠	鳳					D_11_01_04.ann
鶴	相鶴, 在陰相和之鳴, 九皐聞天之聲, 可相之端, 騎鶴上揚州, 鶴聞降眞香則降, 古人以鶴、鵠相通, 上相, 瘦頭朱頂則沖霄, 露眼玄睛則視違, 隆鼻長喙則少眠, 廣頰【瘤同】耳則知時, 長頸竦身則能鳴, 鴻領鵠膺則體輕, 鳳翼鵲尾則善飛, 龜背鱉腹則伏産, 軒前垂後則會舞, 高脛麁節則足力, 洪髀纖指則好翹, 鶴有山海野藪之種, 其色有灰有白, 成群而聚, 白勝於灰, 食從頂咽下, 百六十年一胎, 胎化, 仙鶴, 生卵多在四月, 性喜魚蝦蛇虺, 舞鶴, 不敎而能舞者, 舞鶴法, 鶴脛脆易折, 鶴之最忌者 鰒魚, 仙經, 督脈, 食自頂下咽, 壽二千年, 通督脈而行氣, 由白而蒼, 由蒼而玄, 玄裳皓衣, 白羽扇	子午時	衛, 宋, 廬山, 郡齋, 焦山, 海西延安白川等地, 新羅	浮丘公, 衛靈公, 吳從先, 濟川, 王楙, 夏侯嘉正, 儲泳, 陳眉公, 陳沆, 華陽眞逸、陶隱居弘, 淮南王, 元陶宗儀, 曹安, 王考, 屠隆, 王山岳, 胡侍承, 朱晦菴, 毛奇齡, 淵材, 劉禹錫, 老子, 孔子	相鶴經, 小窓淸記, 易, 詩, 野客叢書, 本草綱目, 祕笈, 瘞鶴銘, 說郛, 移門廣牘, 讕言長語, 花鏡, 耳目口心書, 山林經濟, 測微錄, 眞珠船, 詩傳, 冷齋夜話, 佳話, 採蘭雜志	O_19_01_17.ann
火氣	萬物, 根原, 空氣, 疏密, 濃淡, 地, 日, 月, 壓力, 高低	西紀元前 七百年, 西曆 一千六百四十五年, 同 四十七年	希臘, 義大利, 法	亞拉克斯美尼斯, 脫利塞里, 巴斯加耳		I_01_05_02.ann
八日觀燈	國俗, 四月 八日, 釋迦, 生日, 燃燈, 羣童, 剪紙, 注竿, 旗, 周呼, 城中, 街里, 米布, 呼旗, 燈名, 有蒜, 蓮, 西瓜, 鶴, 鯉, 黿鼈, 甁, 缸, 船, 鼓, 七星, 壽字, 形象				高麗史	I_01_28_13.ann
紡績機	田蠶, 織造, 雛形, 專賣特許, 馬力, 需費, 水車運轉機械, 織布自來機器	十八世紀, 一七六九年, 一七七一年, 一七八七年	我國, 日本, 英	箕子, 哈古里布斯, 亞克毋剌衣, 克林頓, 卡土威		I_01_17_01.ann
簡平儀	測象儀器, 璇璣玉衡, 渾天儀, 簡明要約, 測驗根本之器, 節氣線法, 時刻線法, 簡平儀天盤, 蓋天, 渾球, 立屛, 半球, 玻璃片, 經緯, 度分, 中闊, 旁促, 正弦, 渾蓋, 簡平, 蓋天遺制, 切線	淸	中國, 江蘇婁縣	利西泰, 熊三拔, 徐恕堂朝俊, 熊有綱, 梅文鼎	簡平儀度說, 太陽出入時刻盤圈法圖, 曆學疑問補	O_01_05_15.ann
晨昏大鍾	大鍾, 銅, 鐘閣, 晨昏, 撞鐘, 宮門, 思政殿, 興天寺, 圓覺寺, 東南 兩大門, 壬辰 兵燹, 光化門鍾, 鍾樓之鐘, 南大門, 明禮洞, 世祖所鑄鐘, 光化門樓上, 鑄鐘, 寃枉者	新羅 惠恭王, 高麗 忠穆王, 太祖 三年, 太宗 十二年, 世宗 二年, 八年, 十四年, 中宗, 甲午 秋, 丁酉 冬, 太皇帝 二年, 孝德天皇	慶州府, 開城府, 日本	金安老, 明將 楊鎬		I_01_01_22.ann
証券	印紙, 印契稅, 人民, 田宅, 典賣, 徵收, 政府, 發行, 帖付, 公私	東晋, 宋 開寶 三年, 非立 二世時	西洋, 西班牙			I_01_10_05.ann
至悃					咸從世稿	D_11_01_37.ann
作倅	廉平, 通判, 田郞, 淸德	高宗	金州, 東都, 雞林	宋彥琦, 田祿生, 益齋	列傳, 名宦	D_15_01_19.ann
出倅	朝登第, 淸白, 登第, 左司諫, 德政	毅宗, 仁宗	京山, 尙州	王世慶, 崔惟淸	名宦	D_15_01_19.ann
策			漢	董仲舒		I_01_04_10.ann
論	齊物論			孔子, 莊周	論語	I_01_04_10.ann
序	詩傳小序				爾雅	I_01_04_10.ann
鹵簿	衣冠, 法駕	漢初		高皇帝	叔孫通傳註	I_01_09_01.ann
鼻環	婦人, 僕, 金鼻環, 金手釧, 婦		亞比利加	亞布剌罕, 里伯加	創世紀	I_01_18_19.ann
音律	唐樂, 宋樂, 律, 竹, 十二筩, 鳳鳴, 十二律, 六律, 五音, 典樂, 咸池, 六英, 五莖, 大章, 簫韶, 大夏, 濩, 勺, 武, 秬黍(黑黍), 磬石, 雅樂, 定大業, 與民樂, 大晟樂, 太廟, 朝賀	殷, 周, 世宗 七年, 文武王 三年, 睿宗 九年	嶰谷, 我朝, 海州, 南陽, 我東, 新羅, 熊津府	黃帝, 伶倫, 夔, 唐堯, 帝嚳, 顓頊, 堯, 舜, 禹, 朴堧, 蔣英蔣英實, 世宗, 成宗, 宋 徽宗	呂氏春秋, 淮南子, 樂律, 雅樂譜, 樂學軌範, 樂志	I_01_21_01.ann
馬名	以毛色形體爲名, 騊駼馬, 駮, 騉蹄, 趼, 騉駼, 小領, 駥, 膝上皆白, 惟馵, 四骹皆白, 驓, 四蹢皆白, 首, 前足皆白, 騱, 後足皆白, 翑, 前右足白, 啓, 左白, 踦, 後右足白, 驤, 左白, 馵, 駵馬白腹, 騵, 驪馬白跨, 驈, 白州, 驠, 尾本白, 騴, 尾白, 駺, 馰顙, 白顚, 白達素, 懸, 面顙皆白, 回毛, 逆毛, 騥, 驪白雜毛, 駂, 黃白雜毛, 駓, 陰白雜毛, 駰, 蒼白雜毛, 騅, 彤白雜毛, 騢, 白馬黑鬣, 駱, 白馬黑脣, 黃馬, 高羅馬, 赤馬, 節多馬, 白馬, 白雪兒馬, 銀褐馬, 雪兒馬, 玉頂馬, 小台星馬, 黑馬, 加羅馬, 紅紗馬, 夫婁, 豹臀馬, 九弗者割, 粉嘴馬, 巨巨吃馬, 白臉馬, 潛弗馬, 靑馬, 驄耳馬, 棗騮馬, 紫騮馬, 栗色馬, 屈仰馬, 四明馬, 四足白馬, 銀蹄馬, 五明馬, 間子四足白馬, 海騮馬, 加里雲馬, 黑騣馬, 花馬, 月羅馬, 環眼馬, 骨喜嫩馬, 繡膊馬, 衰羅乃夫銀馬, 土黃馬, 公骨馬, 灰馬, 騅馬馬, 靑驄馬, 靑驄馬馬, 銀鬃馬, 彪馬, 線臉馬, 間子馬, 兒馬, 牡馬, 騍馬, 牝馬, 白馬, 雪羅, 驪, 加羅, 鐵, 騮, 赤多, 騢, 夫老, 烏騮, 紫騮, 驄, 鐵驄, 連錢驄, 鴇, 烏驄, 駰, 泥驄, 陰淺黑, 騅, 蒼 淺靑, 駓, 桃花馬, 驃, 骨羅, 表, 暫佛, 駒, 戴星, 巨割, 龍葛		滿州, 會寧慶源兩府	李瀷	爾雅·釋畜, 譯語類解, 同文類解, 僿說	O_19_02_03.ann
三葉草	根, 巴德利亞, 蟲, 麥田	一八九六年一八八六年	德			I_01_26_18.ann
接輿	桑扈, 楚狂, 避世, 髠首, 臝行, 衣冠, 祼體, 君子, 戰伐, 兵鋒, 惡無, 近刑, 爲兵, 冦敵, 殺傷, 死生, 京觀, 耕田, 鑿井, 賤穢			子桑伯子	論語, 九辨, 家語	S_07_01_09.ann
火砲	火攻, 火墜, 火箭法, 弩箭, 發射, 火車, 火牛, 火燕, 大砲, 聲震天地, 襄陽砲, 石砲, 雲禬雲旝, 將軍砲, 製造法, 立祠, 使臣, 西洋製, 軍門, 毛瑟紅夷砲, 克虜泊, 鋼砲	元 世祖, 高麗, 仁祖 九年, 衣滑 三世, 十四世紀 中葉	唐, 我國, 我朝, 明國, 英國, 德國	孫武子, 李密, 崔茂宣, 梁誠之, 鄭斗源, 克虜泊	周亮輔簒	I_01_11_14.ann
利害仁富	罕言利, 先儒, 耕稼, 蠶績, 聖人, 爲仁不富爲富不仁, 墾土, 力作, 財貨, 優學, 顯仕, 厚祿, 富, 財, 業, 力, 賙人, 宗族, 隣閭, 害心, 兼仁, 忍耻, 絶故舊, 義分背, 君子, 軆念, 利害, 仁富			孔子, 孟子, 陽虎	傳	S_07_01_62.ann
走索	舞絙, 飜筋斗, 古戱, 流入	漢初, 唐代	支那, 我國			I_01_24_18.ann
笙簧	竽, 匏, 竹管, 簧(金葉), 匏竿竽	高麗		女媧氏, 宋 徽宗		I_01_21_16.ann
誕日	生日, 千春節, 千秋節, 聖節, 天長節, 降生日, 十二月卄五日, 慶節, 西例, 生辰, 死者, 功德, 追憶, 忌辰, 二月念二日, 記念慶節, 佛祖, 四月八日, 令節	高麗 成宗 元年, 光仁天皇 六年 十月	日本, 泰西, 美國, 印度	基督, 華盛頓, 釋迦牟尼		I_01_08_07.ann
鑄像術	銅, 鉄, 鑄像, 功, 紀念, 黃金, 銅像, 鑄造, 大銅像, 鑄鉄造像		希臘國, 羅德斯島	越王 句踐, 范蠡, 希海他斯	史記	I_01_13_04.ann
閏見經史	閏, 扐, 五歲, 再閏, 再扐, 三百有六旬有六日, 閏月, 四時, 成歲, 春秋傳, 王者, 正歲, 履端于始, 擧正于中, 歸邪于終, 閏法, 閏三月, 非禮, 歲之餘, 十二月之後, 歸餘, 歲末, 歲之終, 曆法, 魯曆, 蔀首, 秦正朔, 秦曆, 正朔, 以十月爲首, 九月, 三十年, 夏正, 以建寅爲歲首, 四月, 歸餘於終, 後九月, 三代之曆, 月朔, 春月, 仲冬, 月朔頒曆, 犧羊, 明歲曆	文元年, 文公六年, 哀公五年, 成公十七年, 襄公九年, 哀公十五年, 元, 漢初, 秦始皇帝二十六年庚辰, 高祖, 文帝, 宣公初, 宣公以前, 太初元年丁丑, 征和二年庚寅, 漢末	魯, 秦, 淸宣城	堯, 齊景公, 孟康, 凌準, 師古, 梅文鼎定九, 張潮	易·大傳, 書·堯典, 左, 漢書·律曆志, 艅艎日疏, 漢·紀表, 史記, 史記·秦始皇本紀, 漢書·高帝紀, 漢書·表, 學曆說, 論語	O_01_05_11.ann
硯	玉, 墨海, 篆文, 帝鴻氏之硯			李之彦, 黃帝	硯譜	I_01_04_24.ann
城郭	州郡, 築城, 衛君, 造郭, 安民, 羅馬城, 三郞城, 九州	紀元前 七百五十三年	江華 傳燈山, 我國	鯀, 禹, 羅馬路, 檀君, 人皇氏	吳越春秋, 博物志, 廣輿記	I_01_02_08.ann
比重	物理學者, 物體, 水中, 減輕, 重量, 溢出, 相均, 浴室, 湯桶, 身體, 悟出, 裸身, 浴湯, 走歸		斯拉喬斯	亞其美底斯		I_01_05_04.ann
數學	西人, 算學, 二種, 亞剌伯數字, 羅馬數字, 羅馬字, 希臘字					I_01_05_11.ann
恭人	美, 恭之爲道, 誠心, 爲恭, 敬, 德, 觀人, 君子, 學, 明師, 强輔, 子職, 臣分, 恭行, 柔木				詩	S_07_01_53.ann
燈臺	風雨夜, 鏡, 玻瓈板, 盞燈, 遠方	十八世紀初	希臘			I_01_22_17.ann
左旋右旋	右旋說, 左旋說, 日東行, 星西轉, 星從天而西, 日違天而東, 日舒月速, 天左旋, 日月右旋, 日月東行, 天西旋, 天左旋於地, 日月皆右行於天, 天左旋, 天左旋, 右行, 九重, 宗動天, 宗動左旋, 右轉, 氣, 有一氣, 無二氣, 有一動, 無二動, 有左旋, 無右旋, 天左旋, 盤槽, 廻水, 速者爲左, 遲者爲右	宋		邵子, 史伯璿, 王應電, 陳普, 沈貴瑤, 吳澄, 朱夫子, 張橫渠, 蔡仲黙, 朱子, 橫渠, 陳建, 皇明太祖, 方中履, 廣昌, 子宣, 姚寬, 張橫渠, 朱文公, 魏鶴山, 陸德明, 馬融, 王肅	前漢·天文志, 後漢·律歷志, 晉·天文志, 十月之交, 詩傳, 尙書, 詩傳, 通紀, 易, 易·明夷, 黃帝運氣, 西溪叢話, 學齋佔畢纂要, 補亡月采篇, 月令注疏, 周易音義, 明夷卦, 物理小識	O_01_01_11.ann
墓銘	文章, 公宮, 子厚, 告身	唐	弘農, 襄陽	韓退之, 王適, 侯高		S_07_01_02.ann
蟹雌雄	長老, 螃蟹, 朝士, 習事, 士大夫, 風習, 踈雅, 細務, 章甫, 少年, 百伶百俐, 文學, 鄙功, 瑣事, 利害, 君子, 世道, 蜋螘, 博帶, 博物, 識別, 庖人, 祭祀, 好羞, 蟹胥, 蟹醢		青州	鄭玄	詩, 廣雅, 天官	S_07_01_54.ann
測雨器	銅, 書雲觀	世宗 二十四年				I_01_01_20.ann
主從	奴僕, 太宰, 九職, 萬民, 閒民, 無常職, 轉移, 執事, 無業者, 執役, 傭保, 奴婢, 佯狂爲奴, 男奴, 女婢, 罪隸, 犯罪者, 沒入, 爲奴婢, 奴婢法, 三章法, 僕婢, 依時馬伊兒人	殷	我東, 西洋	高漸離, 箕子, 亞布拉罕, 約瑟	周禮, 史記, 周禮注, 舊約全書	I_01_03_08.ann
杖	藤杖, 箕子杖, 黃錫, 漆匣, 監司, 出衙, 驍驂, 壬辰亂, 上古		平壤	箕子		I_01_23_30.ann
饅頭	平蠻, 歸路			諸葛亮	三國志	I_01_19_04.ann
得辰得辛占	得辰, 得辛, 龍之治水, 禾之豐歉, 雨, 風, 低田, 麻豆, 田蕎麥, 大麥, 旱禾, 五穀, 旱澇, 麥, 禾蠶, 田蠶, 麻粟, 麥蠶, 禾麻, 麥粟, 絲綿		周	益公	農家驗曆注, 占歲書, 占豐書, 日記	O_01_06_06.ann
毛織	氂, 織毛爲布, 毛氍毹				爾雅誥詁	I_01_17_04.ann
警蹕	夏官, 隸僕, 蹕, 行人	周			周禮	I_01_09_02.ann
鹽	食鹽, 海水, 煮乳成鹽, 靑, 白, 紅, 黑, 紫, 斥, 鹵, 鹹, 引池化䀋, 醢監䀋, 顆䀋, 煮海, 煮井, 煮鹻, 散鹽, 末䀋, 井, 木, 石		支那, 東方, 西方, 河內, 鹽池, 北海, 蜀, 肅愼, 勿吉	黃帝, 宿沙氏	周官	I_01_19_13.ann
宛然						D_11_01_20.ann
養蠶	敎民田蠶, 植桑勸蠶	雄略天皇 六年	希臘, 我國, 日本	黃帝, 西陵氏, 亞里斯德, 箕子		I_01_16_02.ann
椰子	越王, 怨, 刺客, 憤, 飮器, 椰子瓢杯, 砂糖, 飮料		林邑, 西洋, 羅馬			I_01_26_10.ann
帳	帷, 幕, 雲幕, 哭, 帷幕, 幔, 車幔, 船幔, 幃, 幄		燕	丹, 秦始皇, 高點離, 女媧	三輔舊事, 歸藏, 左傳	I_01_23_10.ann
賜几杖	几杖	文武王 四年	新羅	金庾信		I_01_08_21.ann
佛敎	太子, 錫蘭島, 降生, 輪廻, 地獄, 正偏正遍, 正覺, 祖, 佛像, 佛經, 佛法, 僧, 胡僧, 金銅佛像, 經論, 幡盖, 僧尼, 工匠, 元興寺, 祭天, 金人, 甘泉宮, 燒香, 禮拜, 夢, 支那佛法	周 昭王 二十四年 壬子, 小獸林王 元年, 訥祗王, 法興王 十五年, 枕流王 初年, 欽明天皇 十三年, 漢 武帝 元狩 元年	印度 舍衛國, 高句麗, 我國, 新羅, 一善郡, 百濟, 晋, 日本, 支那	釋迦牟尼, 順道和尙, 墨胡, 阿道, 摩羅難陀, 百濟 聖王, 休屠王, 後漢 明帝		I_01_07_03.ann
蔉						D_11_01_34.ann
太初曆元	上古曆元, 甲寅年, 正月, 甲寅, 十一月, 甲子月, 甲子日, 甲子時, 夜半, 冬至, 曆元, 甲子, 造曆之元, 太初曆, 朔旦, 元封七年, 太初元年, 閼逢攝提格, 天漢元年, 太始元年, 漢家年號, 漢興元年, 後元三年, 太初曆元, 上古之元, 曆之數, 曆之術, 顚倒, 六甲, 武帝之詔, 太史之篇	戊午, 壬戌, 漢安二年, 乙未, 庚辰, 丁丑, 乙未		漢武帝, 宗訢, 文帝, 武帝, 高祖, 劉孝孫, 范, 太史公	考索, 史記·曆書, 史記·曆術甲子篇, 東漢·志, 通鑑編年, 志, 曆術甲子篇	O_01_05_09.ann
日月蝕	日蝕, 日月, 合朔, 月蝕, 相望, 東西, 中絶, 常數, 一交, 太陽, 觀測	西紀元前 五百八十五年	泰西, 希臘國, 雅典國 阿地斯	地利斯	尙書 註, 春秋正義	I_01_01_05.ann
